"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.google.android.agera","agera/src/main/java/com/google/android/agera/ActivationHandler.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"2","com.google.android.agera","agera/src/main/java/com/google/android/agera/ActivationHandler.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"3","com.google.android.agera","agera/src/main/java/com/google/android/agera/ActivationHandler.java","3","20","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"4","com.google.android.agera","agera/src/main/java/com/google/android/agera/ActivationHandler.java","3","20","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"5","com.google.android.agera","agera/src/main/java/com/google/android/agera/ActivationHandler.java","3","22","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"6","com.google.android.agera","agera/src/main/java/com/google/android/agera/ActivationHandler.java","3","22","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"7","com.google.android.agera","agera/src/main/java/com/google/android/agera/ActivationHandler.java","3","25","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"8","com.google.android.agera","agera/src/main/java/com/google/android/agera/ActivationHandler.java","3","25","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"9","com.google.android.agera","agera/src/main/java/com/google/android/agera/ActivationHandler.java","3","26","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"10","com.google.android.agera","agera/src/main/java/com/google/android/agera/ActivationHandler.java","3","26","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"11","com.google.android.agera","agera/src/main/java/com/google/android/agera/ActivationHandler.java","3","27","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"12","com.google.android.agera","agera/src/main/java/com/google/android/agera/ActivationHandler.java","3","27","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"13","com.google.android.agera","agera/src/main/java/com/google/android/agera/ActivationHandler.java","3","28","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"14","com.google.android.agera","agera/src/main/java/com/google/android/agera/ActivationHandler.java","3","28","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"15","com.google.android.agera","agera/src/main/java/com/google/android/agera/ActivationHandler.java","3","34","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"16","com.google.android.agera","agera/src/main/java/com/google/android/agera/ActivationHandler.java","3","34","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"17","com.google.android.agera","agera/src/main/java/com/google/android/agera/ActivationHandler.java","3","40","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"18","com.google.android.agera","agera/src/main/java/com/google/android/agera/ActivationHandler.java","3","40","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"19","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"20","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"21","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","16","TooManyStaticImports: Too many static imports may lead to messy code","Code Style","TooManyStaticImports"
"22","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","16","TooManyStaticImports: Too many static imports may lead to messy code","Code Style","TooManyStaticImports"
"23","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","30","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"24","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","30","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"25","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","31","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"26","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","31","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"27","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","32","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"28","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","32","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"29","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","33","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"30","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","33","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"31","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","34","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"32","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","34","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"33","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","36","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"34","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","36","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"35","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","37","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"36","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","37","CommentSize: Comment is too large: Line too long","Documentation","CommentSize"
"37","com.google.android.agera","agera/src/main/java/com/google/android/agera/BaseObservable.java","3","40","AbstractNaming: Abstract classes should be named AbstractXXX","Code Style","AbstractNaming"
