"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"2","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","1","CommentSize: Comment is too large: Too many lines","Documentation","CommentSize"
"3","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","4","41","UnusedImports: Avoid unused imports such as 'android.widget'","Best Practices","UnusedImports"
"4","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","4","41","UnusedImports: Avoid unused imports such as 'android.widget'","Best Practices","UnusedImports"
"5","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","56","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"6","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","56","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"7","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","58","CommentRequired: Field comments are required","Documentation","CommentRequired"
"8","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","58","CommentRequired: Field comments are required","Documentation","CommentRequired"
"9","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","59","CommentRequired: Field comments are required","Documentation","CommentRequired"
"10","com.esri.arcgisruntime.opensourceapps.mapsapp","maps-app/src/main/java/com/esri/arcgisruntime/opensourceapps/mapsapp/ContentBrowserFragment.java","3","59","CommentRequired: Field comments are required","Documentation","CommentRequired"
